event_date,user_pseudo_id,ga_client_id,user_id_ui,session_id,source,medium,gclid,fbclid,fbc,fbp,full_referrer,form_name,form_step_name,form_valid,quote_number_after_generated,order_id_after_generated,event_timestamp,event_name,page_uri,full_page_url,traffic_category,custom_event
2026-03-01,4095515938.1639822046,GA1.1.4095515938.1639822046,ui_47b074ecc9,sU0342_1,Meta,paid_social,,fb.065f102b0f02845e274aa337,fb.1.1772372078.065f102b0f02845e274aa337,fb.1.1772372078.8552409831,https://l.facebook.com/,,,,,,2026-03-01 13:34:38,session_start,/lead-form,https://example.com/lead-form,paid,
2026-03-01,4095515938.1639822046,GA1.1.4095515938.1639822046,ui_47b074ecc9,sU0342_1,Meta,paid_social,,fb.065f102b0f02845e274aa337,fb.1.1772372078.065f102b0f02845e274aa337,fb.1.1772372078.8552409831,https://l.facebook.com/,,,,,,2026-03-01 13:34:58,page_view,/tickets,https://example.com/tickets,paid,
2026-03-01,8429157392.1418945592,GA1.1.8429157392.1418945592,,sU0393_1,Meta,paid_social,,fb.5997cbfc3dfd559a2b411aff,fb.1.1772380158.5997cbfc3dfd559a2b411aff,fb.1.1772380158.7561447533,https://l.facebook.com/,,,,,,2026-03-01 15:49:18,session_start,/animals,https://example.com/animals,paid,
2026-03-01,8429157392.1418945592,GA1.1.8429157392.1418945592,,sU0393_1,Meta,paid_social,,fb.5997cbfc3dfd559a2b411aff,fb.1.1772380158.5997cbfc3dfd559a2b411aff,fb.1.1772380158.7561447533,https://l.facebook.com/,,,,,,2026-03-01 15:49:38,page_view,/animals,https://example.com/animals,paid,
2026-03-01,8429157392.1418945592,GA1.1.8429157392.1418945592,,sU0393_1,Meta,paid_social,,fb.5997cbfc3dfd559a2b411aff,fb.1.1772380158.5997cbfc3dfd559a2b411aff,fb.1.1772380158.7561447533,https://l.facebook.com/,,,,,,2026-03-01 15:49:58,select_content,/tickets,https://example.com/tickets,paid,
2026-03-02,1872395778.1595363509,GA1.1.1872395778.1595363509,ui_63bea51ab2,sU0068_1,Meta,paid_social,,fb.5b63a8fd8b31b70e93a0aed1,fb.1.1772420863.5b63a8fd8b31b70e93a0aed1,fb.1.1772420863.4511008639,https://l.facebook.com/,,,,,,2026-03-02 03:07:43,session_start,/tickets,https://example.com/tickets,paid,
2026-03-02,1872395778.1595363509,GA1.1.1872395778.1595363509,ui_63bea51ab2,sU0068_1,Meta,paid_social,,fb.5b63a8fd8b31b70e93a0aed1,fb.1.1772420863.5b63a8fd8b31b70e93a0aed1,fb.1.1772420863.4511008639,https://l.facebook.com/,,,,,,2026-03-02 03:08:03,page_view,/membership,https://example.com/membership,paid,
2026-03-02,6186857522.1856676884,GA1.1.6186857522.1856676884,ui_8adf5a7f94,sU0421_1,Meta,paid_social,,fb.844dfd0b279b9e1c954b6521,fb.1.1772432784.844dfd0b279b9e1c954b6521,fb.1.1772432784.8287267834,https://l.facebook.com/,,,,,,2026-03-02 06:26:24,session_start,/lead-form,https://example.com/lead-form,paid,
2026-03-02,6186857522.1856676884,GA1.1.6186857522.1856676884,ui_8adf5a7f94,sU0421_1,Meta,paid_social,,fb.844dfd0b279b9e1c954b6521,fb.1.1772432784.844dfd0b279b9e1c954b6521,fb.1.1772432784.8287267834,https://l.facebook.com/,,,,,,2026-03-02 06:26:44,page_view,/tickets,https://example.com/tickets,paid,
2026-03-02,8786828204.1918962941,GA1.1.8786828204.1918962941,ui_58dfc113ff,sU0383_1,Meta,paid_social,,fb.3b94c1b757c5fe6c28af60c1,fb.1.1772441428.3b94c1b757c5fe6c28af60c1,fb.1.1772441428.9909623939,https://l.facebook.com/,,,,,,2026-03-02 08:50:28,session_start,/membership,https://example.com/membership,paid,
2026-03-02,8786828204.1918962941,GA1.1.8786828204.1918962941,ui_58dfc113ff,sU0383_1,Meta,paid_social,,fb.3b94c1b757c5fe6c28af60c1,fb.1.1772441428.3b94c1b757c5fe6c28af60c1,fb.1.1772441428.9909623939,https://l.facebook.com/,,,,,,2026-03-02 08:50:48,page_view,/tickets,https://example.com/tickets,paid,
2026-03-02,5068404283.1175416693,GA1.1.5068404283.1175416693,ui_8f6575de23,sU0257_1,Meta,paid_social,,fb.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.3094381758,https://l.facebook.com/,,,,,,2026-03-02 09:35:34,session_start,/membership,https://example.com/membership,paid,
2026-03-02,5068404283.1175416693,GA1.1.5068404283.1175416693,ui_8f6575de23,sU0257_1,Meta,paid_social,,fb.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.3094381758,https://l.facebook.com/,,,,,,2026-03-02 09:35:54,page_view,/tickets,https://example.com/tickets,paid,
2026-03-02,3616466630.1652162382,GA1.1.3616466630.1652162382,ui_2ece252507,sU0108_1,Google Ads,cpc,EAIaIQobead079759550e251718217,,,,https://www.google.com/,,,,,,2026-03-02 09:36:11,session_start,/whats-on,https://example.com/whats-on,paid,
2026-03-02,5068404283.1175416693,GA1.1.5068404283.1175416693,ui_8f6575de23,sU0257_1,Meta,paid_social,,fb.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.67b1ec5d76c95d3b2a31eeb8,fb.1.1772444134.3094381758,https://l.facebook.com/,,,,,,2026-03-02 09:36:14,select_content,/membership,https://example.com/membership,paid,
2026-03-02,3616466630.1652162382,GA1.1.3616466630.1652162382,ui_2ece252507,sU0108_1,Google Ads,cpc,EAIaIQobead079759550e251718217,,,,https://www.google.com/,,,,,,2026-03-02 09:36:31,page_view,/animals,https://example.com/animals,paid,
